File,Class,IOU Threshold,GT Dist,Pred Dist,Pred-gt,Absolute Relative Error,GT Box 1,GT Box 2,GT Box 3,GT Box 4,Pred Box 1,Pred Box 2,Pred Box 3,Pred Box 4
004963.png,Pedestrian,0.5,7,7.560,0.560,0.080,725,158,785,325,724,131,761,328
004508.png,Pedestrian,0.5,8,9.027,1.027,0.128,439,142,506,302,450,125,494,327
002496.png,Pedestrian,0.5,16,19.128,3.128,0.195,484,169,508,240,492,146,507,248
006121.png,Pedestrian,0.5,5,6.262,1.262,0.252,817,141,913,369,813,107,883,370
004855.png,Pedestrian,0.5,13,17.020,4.020,0.309,404,177,441,264,408,152,431,272
000422.png,Pedestrian,0.5,17,19.874,2.874,0.169,631,152,663,229,636,154,654,239
004786.png,Pedestrian,0.5,9,10.833,1.833,0.204,168,150,229,308,187,146,221,316
000085.png,Pedestrian,0.5,9,10.370,1.370,0.152,304,177,359,304,313,147,350,328
003306.png,Pedestrian,0.5,10,11.774,1.774,0.177,306,168,360,303,311,142,347,308
001422.png,Pedestrian,0.5,8,8.840,0.840,0.105,372,141,455,312,384,118,430,323
003398.png,Pedestrian,0.5,24,27.162,3.162,0.132,249,155,270,210,254,140,270,211
002487.png,Pedestrian,0.5,27,22.529,-4.471,0.166,226,152,246,203,226,141,242,212
003398.png,Pedestrian,0.5,24,25.484,1.484,0.062,209,151,233,208,212,135,228,215
004337.png,Pedestrian,0.5,6,5.840,-0.160,0.027,1107,107,1223,343,1119,94,1199,375
001360.png,Pedestrian,0.5,23,20.313,-2.687,0.117,544,165,562,224,541,154,563,227
002487.png,Pedestrian,0.5,11,13.405,2.405,0.219,567,153,624,279,575,139,609,282
002583.png,Pedestrian,0.5,5,9.235,4.235,0.847,871,144,961,373,866,122,931,374
006728.png,Pedestrian,0.5,53,41.657,-11.343,0.214,612,171,622,196,613,160,620,198
004945.png,Pedestrian,0.5,23,31.514,8.514,0.370,456,170,471,222,459,168,471,212
000764.png,Pedestrian,0.5,9,10.519,1.519,0.169,774,153,844,301,800,141,842,310
000764.png,Pedestrian,0.5,9,11.668,2.668,0.296,563,160,621,315,582,136,627,308
003380.png,Pedestrian,0.5,17,18.236,1.236,0.073,459,176,484,243,461,154,480,258
006121.png,Pedestrian,0.5,15,16.077,1.077,0.072,442,141,467,228,452,130,466,229
003526.png,Pedestrian,0.5,8,15.021,7.021,0.878,3,156,66,319,18,149,54,319
000764.png,Pedestrian,0.5,9,11.351,2.351,0.261,650,161,696,290,644,135,681,287
003398.png,Pedestrian,0.5,9,10.339,1.339,0.149,711,145,782,302,738,137,779,313
005945.png,Pedestrian,0.5,23,21.387,-1.613,0.070,765,162,785,218,770,154,783,226
005718.png,Pedestrian,0.5,22,27.505,5.505,0.250,763,165,787,219,769,157,784,226
000764.png,Pedestrian,0.5,8,6.951,-1.049,0.131,767,149,830,314,779,139,821,331
003576.png,Pedestrian,0.5,7,6.326,-0.674,0.096,1044,141,1109,319,1048,105,1096,310
007464.png,Pedestrian,0.5,23,21.337,-1.663,0.072,409,170,431,226,410,151,426,234
003753.png,Pedestrian,0.5,9,13.036,4.036,0.448,950,123,1011,289,950,121,982,301
002294.png,Pedestrian,0.5,8,10.128,2.128,0.266,684,170,731,323,689,149,724,326
001370.png,Pedestrian,0.5,7,3.874,-3.126,0.447,270,145,333,341,284,147,323,329
001021.png,Pedestrian,0.5,21,20.533,-0.467,0.022,724,164,745,222,723,157,738,224
000764.png,Pedestrian,0.5,9,10.797,1.797,0.200,596,155,652,302,606,133,645,310
006121.png,Pedestrian,0.5,7,8.033,1.033,0.148,887,136,967,330,920,117,966,346
001467.png,Pedestrian,0.5,7,11.228,4.228,0.604,218,166,277,347,232,136,267,349
002487.png,Pedestrian,0.5,9,10.219,1.219,0.135,729,160,791,302,742,141,780,312
006749.png,Pedestrian,0.5,5,4.524,-0.476,0.095,88,128,199,369,93,87,190,370
005902.png,Pedestrian,0.5,11,10.257,-0.743,0.068,251,167,305,279,252,142,298,308
002775.png,Pedestrian,0.5,13,12.148,-0.852,0.066,640,167,672,266,650,146,669,273
007278.png,Pedestrian,0.5,8,11.088,3.088,0.386,499,155,566,309,507,137,547,327
003398.png,Pedestrian,0.5,6,6.608,0.608,0.101,1023,160,1130,351,1031,139,1114,370
004963.png,Pedestrian,0.5,17,14.197,-2.803,0.165,629,164,652,240,635,144,650,244
002715.png,Pedestrian,0.5,33,34.133,1.133,0.034,739,173,750,212,737,168,746,213
005825.png,Pedestrian,0.5,16,13.890,-2.110,0.132,720,152,748,231,726,142,742,238
000177.png,Pedestrian,0.5,17,25.290,8.290,0.488,928,165,958,237,931,160,951,239
005172.png,Pedestrian,0.5,17,23.728,6.728,0.396,998,155,1025,226,998,150,1017,230
002096.png,Pedestrian,0.5,25,39.239,14.239,0.570,464,170,478,220,464,169,475,211
002487.png,Pedestrian,0.5,11,12.223,1.223,0.111,479,158,524,277,487,139,523,269
002725.png,Pedestrian,0.5,6,5.790,-0.210,0.035,1027,133,1151,339,1039,110,1135,368
006444.png,Pedestrian,0.5,6,5.277,-0.723,0.120,1030,125,1161,355,1041,114,1143,369
007092.png,Pedestrian,0.5,17,23.474,6.474,0.381,816,162,844,242,816,143,835,255
005818.png,Pedestrian,0.5,33,49.554,16.554,0.502,415,177,434,218,413,180,428,216
005817.png,Pedestrian,0.5,7,10.314,3.314,0.473,957,143,1023,327,974,124,1010,332
002091.png,Pedestrian,0.5,5,6.413,1.413,0.283,1124,166,1214,373,1118,138,1204,374
002583.png,Pedestrian,0.5,9,8.029,-0.971,0.108,713,156,753,287,726,120,755,298
002954.png,Pedestrian,0.5,8,9.990,1.990,0.249,808,182,875,322,814,158,866,357
006121.png,Pedestrian,0.5,16,16.630,0.630,0.039,469,147,491,221,468,133,484,227
001467.png,Pedestrian,0.5,11,10.759,-0.241,0.022,812,154,865,284,820,154,856,275
002775.png,Pedestrian,0.5,19,26.020,7.020,0.369,744,166,764,230,747,160,765,237
000764.png,Pedestrian,0.5,30,40.598,10.598,0.353,191,151,208,199,196,159,209,198
003398.png,Pedestrian,0.5,10,11.520,1.520,0.152,652,150,712,285,666,132,699,286
003207.png,Pedestrian,0.5,8,12.986,4.986,0.623,1036,143,1087,293,1039,111,1073,306
001396.png,Pedestrian,0.5,43,39.138,-3.862,0.090,543,171,553,202,538,167,555,202
000422.png,Pedestrian,0.5,23,24.550,1.550,0.067,357,164,379,219,358,156,373,229
004786.png,Pedestrian,0.5,9,11.091,2.091,0.232,236,166,283,302,246,155,283,305
002283.png,Pedestrian,0.5,19,22.349,3.349,0.176,57,194,78,255,64,180,79,265
003758.png,Pedestrian,0.5,9,7.873,-1.127,0.125,805,178,864,304,810,150,856,309
002725.png,Pedestrian,0.5,11,12.873,1.873,0.170,258,181,301,302,261,154,292,316
003047.png,Pedestrian,0.5,4,5.834,1.834,0.458,958,120,1077,373,976,112,1067,374
004782.png,Pedestrian,0.5,4,4.083,0.083,0.021,947,173,1065,374,978,133,1068,375
006444.png,Pedestrian,0.5,5,6.259,1.259,0.252,37,147,167,373,41,132,129,374
004963.png,Pedestrian,0.5,11,13.055,2.055,0.187,239,165,289,283,249,161,285,292
004583.png,Pedestrian,0.5,29,22.178,-6.822,0.235,565,184,583,227,563,172,582,240
006478.png,Pedestrian,0.5,10,11.174,1.174,0.117,739,163,791,276,736,161,777,285
003141.png,Pedestrian,0.5,17,18.055,1.055,0.062,816,149,842,229,816,149,839,264
004250.png,Pedestrian,0.5,10,12.074,2.074,0.207,334,157,377,286,342,147,376,297
003047.png,Pedestrian,0.5,6,6.185,0.185,0.031,1028,106,1115,337,1037,96,1133,371
002194.png,Pedestrian,0.5,19,17.487,-1.513,0.080,732,179,758,241,731,163,757,251
001106.png,Pedestrian,0.5,9,8.069,-0.931,0.103,432,184,486,305,434,154,466,310
004250.png,Pedestrian,0.5,9,13.849,4.849,0.539,277,157,341,290,300,148,337,280
004963.png,Pedestrian,0.5,12,13.425,1.425,0.119,360,167,401,271,368,151,394,272
001525.png,Pedestrian,0.5,10,11.977,1.977,0.198,976,148,1031,277,973,137,1015,323
003074.png,Pedestrian,0.5,12,8.525,-3.475,0.290,776,153,819,254,779,149,813,302
006749.png,Pedestrian,0.5,4,3.964,-0.036,0.009,228,136,340,369,233,88,317,370
001295.png,Pedestrian,0.5,42,44.358,2.358,0.056,550,168,565,199,552,162,567,199
002065.png,Pedestrian,0.5,21,35.259,14.259,0.679,800,163,821,220,801,169,815,213
007333.png,Pedestrian,0.5,10,11.610,1.610,0.161,323,172,357,292,324,160,356,298
004583.png,Pedestrian,0.5,34,40.455,6.455,0.190,605,184,621,222,609,176,622,219
002889.png,Pedestrian,0.5,7,17.590,10.590,1.513,245,197,314,362,258,193,299,352
007161.png,Pedestrian,0.5,11,16.877,5.877,0.534,797,148,847,267,803,132,836,283
003398.png,Pedestrian,0.5,8,11.936,3.936,0.492,709,149,768,320,706,145,747,307
003464.png,Pedestrian,0.5,5,4.405,-0.595,0.119,724,137,790,369,736,132,778,370
006971.png,Pedestrian,0.5,18,16.846,-1.154,0.064,929,161,954,229,925,154,947,236
002327.png,Pedestrian,0.5,29,38.309,9.309,0.321,417,169,431,210,418,173,432,210
003464.png,Pedestrian,0.5,5,4.123,-0.877,0.175,788,179,874,369,778,100,869,370
003466.png,Pedestrian,0.5,10,11.602,1.602,0.160,794,156,840,266,802,130,834,289
001519.png,Pedestrian,0.5,7,7.456,0.456,0.065,188,146,284,328,175,125,263,370
003298.png,Pedestrian,0.5,14,22.902,8.902,0.636,854,143,889,240,861,151,887,242
002487.png,Pedestrian,0.5,8,9.883,1.883,0.235,653,155,729,332,655,130,749,329
004752.png,Pedestrian,0.5,35,41.847,6.847,0.196,671,170,686,204,676,170,684,210
002517.png,Pedestrian,0.5,11,15.765,4.765,0.433,66,183,103,302,63,170,109,309
002725.png,Pedestrian,0.5,6,5.231,-0.769,0.128,132,174,247,373,135,151,219,374
007464.png,Pedestrian,0.5,12,11.425,-0.575,0.048,740,148,786,256,738,161,778,289
002583.png,Pedestrian,0.5,3,7.826,4.826,1.609,0,132,143,373,6,55,91,374
003464.png,Pedestrian,0.5,4,9.319,5.319,1.330,659,166,799,369,666,72,776,347
001106.png,Pedestrian,0.5,12,19.189,7.189,0.599,876,164,915,258,891,157,914,264
003102.png,Pedestrian,0.5,13,13.379,0.379,0.029,600,166,636,260,603,154,627,265
002725.png,Pedestrian,0.5,12,14.103,2.103,0.175,238,186,284,288,237,167,273,311
003464.png,Pedestrian,0.5,11,12.405,1.405,0.128,246,138,279,259,245,136,281,323
002487.png,Pedestrian,0.5,7,11.485,4.485,0.641,877,146,959,334,872,144,986,321
001618.png,Pedestrian,0.5,13,6.148,-6.852,0.527,887,151,928,257,880,157,929,300
004594.png,Pedestrian,0.5,8,14.041,6.041,0.755,543,154,602,306,565,149,600,318
002471.png,Pedestrian,0.5,5,4.219,-0.781,0.156,1056,159,1165,374,1077,136,1176,375
003311.png,Car,0.5,33,35.276,2.276,0.069,324,180,392,218,326,178,387,223
000361.png,Car,0.5,25,31.579,6.579,0.263,455,187,528,233,452,182,518,233
000585.png,Car,0.5,32,32.539,0.539,0.017,422,184,473,218,420,173,477,216
004995.png,Car,0.5,38,36.292,-1.708,0.045,317,190,373,220,311,180,368,220
002652.png,Car,0.5,26,30.504,4.504,0.173,510,184,567,222,502,175,566,224
005977.png,Car,0.5,28,34.164,6.164,0.220,483,176,540,215,483,166,547,214
007459.png,Car,0.5,24,26.609,2.609,0.109,549,171,615,232,568,176,617,222
001254.png,Car,0.5,29,30.743,1.743,0.060,442,187,488,224,441,176,494,223
004758.png,Car,0.5,25,35.937,10.937,0.437,280,181,383,230,303,178,372,233
002509.png,Car,0.5,27,32.845,5.845,0.216,642,158,714,210,645,158,710,211
005157.png,Car,0.5,26,31.039,5.039,0.194,657,175,716,222,657,167,720,225
004526.png,Car,0.5,31,32.571,1.571,0.051,625,182,677,218,622,177,675,219
001767.png,Car,0.5,28,35.386,7.386,0.264,426,182,493,226,424,175,485,229
000649.png,Car,0.5,28,28.097,0.097,0.003,350,178,431,227,369,174,432,224
007284.png,Car,0.5,40,35.250,-4.750,0.119,304,186,365,216,304,173,365,218
006775.png,Car,0.5,27,29.231,2.231,0.083,339,183,427,226,368,176,429,222
003270.png,Car,0.5,30,26.923,-3.077,0.103,571,176,617,213,570,166,615,217
000083.png,Car,0.5,12,10.356,-1.644,0.137,368,183,504,279,368,168,495,282
002060.png,Car,0.5,23,26.796,3.796,0.165,568,180,625,225,567,172,626,228
002163.png,Car,0.5,31,31.353,0.353,0.011,249,189,324,227,254,175,318,228
001967.png,Car,0.5,30,31.216,1.216,0.041,735,183,805,220,731,176,792,223
000540.png,Car,0.5,23,28.203,5.203,0.226,499,185,565,228,500,173,563,228
004758.png,Car,0.5,26,27.986,1.986,0.076,415,182,497,226,432,175,494,225
007182.png,Car,0.5,4,6.433,2.433,0.608,785,150,1241,374,804,110,1220,375
003565.png,Car,0.5,32,29.133,-2.867,0.090,539,173,585,219,535,178,590,217
001372.png,Car,0.5,29,31.987,2.987,0.103,459,181,528,219,465,168,524,218
006944.png,Car,0.5,39,31.971,-7.029,0.180,330,183,381,212,326,179,384,221
006728.png,Car,0.5,3,7.590,4.590,1.530,842,151,1241,374,832,122,1236,375
004375.png,Car,0.5,13,11.108,-1.892,0.146,380,184,503,272,372,168,492,283
005810.png,Car,0.5,31,28.111,-2.889,0.093,547,185,606,221,549,176,609,220
002501.png,Car,0.5,22,25.491,3.491,0.159,600,177,659,225,594,167,657,224
003745.png,Car,0.5,24,22.695,-1.305,0.054,462,171,529,227,464,171,526,226
003187.png,Car,0.5,28,28.616,0.616,0.022,448,171,513,220,450,168,511,217
001136.png,Car,0.5,31,34.055,3.055,0.099,453,177,505,215,450,172,510,212
000682.png,Car,0.5,5,5.533,0.533,0.107,0,180,335,374,30,140,300,375
005852.png,Car,0.5,37,33.677,-3.323,0.090,274,186,343,219,287,174,347,219
004870.png,Car,0.5,35,33.555,-1.445,0.041,406,178,489,210,406,173,468,221
000092.png,Car,0.5,28,30.239,2.239,0.080,420,175,496,228,435,173,492,226
001005.png,Car,0.5,14,13.583,-0.417,0.030,709,170,835,263,713,150,824,264
006597.png,Car,0.5,26,32.573,6.573,0.253,420,182,495,228,430,180,494,233
003074.png,Car,0.5,14,13.116,-0.884,0.063,470,173,581,262,472,156,579,267
004434.png,Car,0.5,4,10.443,6.443,1.611,0,207,242,374,19,197,225,375
003096.png,Car,0.5,39,39.959,0.959,0.025,272,188,333,220,275,179,329,217
002847.png,Car,0.5,29,28.030,-0.970,0.033,462,182,516,218,466,172,525,216
006430.png,Car,0.5,12,10.628,-1.372,0.114,369,182,500,276,367,170,493,282
006389.png,Car,0.5,31,31.534,0.534,0.017,236,178,313,214,239,172,299,217
007066.png,Car,0.5,32,25.891,-6.109,0.191,399,182,460,216,398,168,463,225
002385.png,Car,0.5,33,36.215,3.215,0.097,464,177,511,213,455,171,515,210
000649.png,Car,0.5,23,27.950,4.950,0.215,295,187,388,237,314,182,386,236
001989.png,Car,0.5,38,33.809,-4.191,0.110,498,186,532,214,498,166,532,214
006834.png,Car,0.5,31,31.097,0.097,0.003,95,183,199,220,125,176,190,223
002509.png,Car,0.5,27,30.845,3.845,0.142,447,179,495,220,441,177,497,222
000601.png,Car,0.5,35,31.715,-3.285,0.094,273,185,340,218,276,170,336,215
000576.png,Car,0.5,26,32.724,6.724,0.259,234,187,310,242,236,189,302,239
000376.png,Car,0.5,29,29.313,0.313,0.011,317,192,391,233,320,188,381,237
003037.png,Car,0.5,30,26.438,-3.562,0.119,491,173,544,216,490,167,540,214
001326.png,Car,0.5,32,31.963,-0.037,0.001,673,180,715,215,666,170,723,213
002132.png,Car,0.5,20,29.984,9.984,0.499,649,173,723,233,655,172,711,224
002155.png,Car,0.5,29,32.603,3.603,0.124,315,187,389,223,322,179,381,223
000886.png,Car,0.5,23,26.604,3.604,0.157,583,170,638,225,587,168,634,225
004938.png,Car,0.5,12,12.420,0.420,0.035,715,190,858,279,731,170,854,283
002096.png,Car,0.5,42,37.351,-4.649,0.111,742,166,819,195,761,160,819,199
001771.png,Car,0.5,13,13.563,0.563,0.043,345,177,484,271,341,166,467,280
000390.png,Car,0.5,30,30.567,0.567,0.019,478,182,520,225,468,169,524,226
007038.png,Car,0.5,28,33.291,5.291,0.189,267,190,348,230,268,181,335,235
001349.png,Car,0.5,28,27.479,-0.521,0.019,592,176,637,219,589,169,633,217
006172.png,Car,0.5,29,31.380,2.380,0.082,631,172,736,216,641,168,708,223
002269.png,Car,0.5,32,31.837,-0.163,0.005,506,182,550,217,505,171,551,218
001720.png,Car,0.5,35,30.980,-4.020,0.115,395,181,454,216,393,174,448,217
004945.png,Car,0.5,41,40.874,-0.126,0.003,722,167,801,196,748,163,801,197
005139.png,Car,0.5,4,9.990,5.990,1.498,0,214,312,374,25,202,283,375
003382.png,Car,0.5,5,5.406,0.406,0.081,829,126,1241,374,807,94,1242,375
003578.png,Car,0.5,23,27.149,4.149,0.180,453,187,512,243,452,178,518,240
001637.png,Car,0.5,14,15.192,1.192,0.085,0,188,124,271,0,180,126,301
001183.png,Car,0.5,13,12.026,-0.974,0.075,345,180,487,274,344,165,474,281
002341.png,Car,0.5,25,30.577,5.577,0.223,536,176,589,224,535,176,591,226
000142.png,Car,0.5,24,24.572,0.572,0.024,428,178,495,225,435,171,498,223
003419.png,Car,0.5,32,29.583,-2.417,0.076,422,180,475,214,421,170,477,215
001264.png,Car,0.5,29,27.429,-1.571,0.054,486,176,541,218,483,172,539,222
004129.png,Car,0.5,37,32.953,-4.047,0.109,302,188,369,222,305,177,364,225
002272.png,Car,0.5,33,33.405,0.405,0.012,660,182,706,219,654,176,711,219
003280.png,Car,0.5,12,13.151,1.151,0.096,382,191,513,298,376,174,511,300
007248.png,Car,0.5,23,26.208,3.208,0.139,573,177,630,223,571,171,627,223
007200.png,Car,0.5,39,34.696,-4.304,0.110,485,179,524,209,472,172,531,212
002476.png,Car,0.5,13,12.829,-0.171,0.013,674,183,819,277,699,167,814,282
007168.png,Car,0.5,34,30.014,-3.986,0.117,240,187,319,223,255,178,316,221
000140.png,Car,0.5,16,14.627,-1.373,0.086,706,162,820,248,708,145,819,247
002788.png,Car,0.5,27,25.665,-1.335,0.049,343,185,420,228,354,171,419,226
002567.png,Car,0.5,36,30.304,-5.696,0.158,664,165,715,202,652,161,712,205
002874.png,Car,0.5,29,26.001,-2.999,0.103,595,176,638,217,594,170,632,216
005784.png,Car,0.5,25,30.780,5.780,0.231,449,181,530,226,453,168,516,226
006389.png,Car,0.5,32,30.845,-1.155,0.036,353,181,426,216,355,175,414,220
004178.png,Car,0.5,31,31.222,0.222,0.007,484,172,536,206,485,156,545,208
006764.png,Car,0.5,5,8.744,3.744,0.749,827,182,1241,374,809,151,1242,375
001944.png,Car,0.5,34,34.169,0.169,0.005,508,182,557,213,505,175,559,215
001140.png,Car,0.5,24,33.598,9.598,0.400,395,179,473,235,402,181,466,231
007230.png,Car,0.5,29,30.823,1.823,0.063,525,178,583,222,527,170,590,223
001812.png,Car,0.5,25,27.559,2.559,0.102,593,174,644,222,590,171,644,217
003372.png,Car,0.5,26,28.666,2.666,0.103,402,187,477,233,406,180,466,235
000376.png,Car,0.5,27,28.929,1.929,0.071,496,183,549,230,486,181,551,230
002194.png,Car,0.5,5,7.808,2.808,0.562,896,160,1241,374,918,116,1219,375
003729.png,Car,0.5,5,7.391,2.391,0.478,917,194,1241,374,937,147,1217,375
004929.png,Car,0.5,27,26.546,-0.454,0.017,550,175,599,220,560,171,597,223
002096.png,Car,0.5,36,33.485,-2.515,0.070,524,174,606,204,537,167,595,203
005876.png,Car,0.5,26,30.422,4.422,0.170,452,181,530,223,462,168,525,221
002758.png,Car,0.5,23,24.275,1.275,0.055,357,187,439,235,364,183,433,242
002476.png,Car,0.5,32,28.470,-3.530,0.110,564,182,614,218,564,175,621,226
002057.png,Car,0.5,13,14.934,1.934,0.149,302,189,439,282,299,174,432,280
004331.png,Car,0.5,29,34.302,5.302,0.183,688,172,746,212,693,165,753,217
002517.png,Car,0.5,12,10.826,-1.174,0.098,333,195,484,302,346,186,465,302
000476.png,Car,0.5,32,31.008,-0.992,0.031,523,179,576,215,522,171,572,215
000953.png,Car,0.5,16,15.430,-0.570,0.036,667,175,779,257,682,168,786,260
004293.png,Car,0.5,30,35.402,5.402,0.180,482,182,525,219,473,178,529,221
000707.png,Car,0.5,14,13.687,-0.313,0.022,360,189,501,280,364,174,493,284
001767.png,Car,0.5,29,28.817,-0.183,0.006,313,180,390,229,324,178,382,225
001387.png,Car,0.5,37,32.790,-4.210,0.114,300,182,372,213,302,174,363,216
006224.png,Car,0.5,21,28.245,7.245,0.345,501,183,567,231,502,171,567,230
005108.png,Car,0.5,36,29.959,-6.041,0.168,473,167,522,202,472,161,525,207
003698.png,Car,0.5,25,26.789,1.789,0.072,570,176,620,225,572,175,617,225
003012.png,Car,0.5,3,8.297,5.297,1.766,0,226,273,374,30,196,252,375
005718.png,Car,0.5,10,20.388,10.388,1.039,0,171,80,273,0,171,70,276
002684.png,Car,0.5,14,14.861,0.861,0.061,393,192,515,278,393,178,508,282
001524.png,Car,0.5,40,33.304,-6.696,0.167,331,182,394,217,334,174,393,220
004464.png,Car,0.5,31,27.875,-3.125,0.101,500,174,553,224,499,172,556,219
005157.png,Car,0.5,15,14.555,-0.445,0.030,328,182,466,273,330,169,443,280
000140.png,Car,0.5,32,28.729,-3.271,0.102,550,173,603,211,543,160,606,209
005531.png,Car,0.5,31,39.051,8.051,0.260,670,163,732,208,666,168,728,212
002662.png,Car,0.5,23,24.662,1.662,0.072,583,181,639,227,581,175,638,229
007297.png,Car,0.5,14,13.708,-0.292,0.021,368,179,495,279,360,162,480,287
003896.png,Car,0.5,7,5.145,-1.855,0.265,517,160,738,370,520,166,741,367
003314.png,Car,0.5,26,39.262,13.262,0.510,0,180,78,222,13,172,71,221
000552.png,Car,0.5,13,12.368,-0.632,0.049,720,166,862,268,743,155,853,265
004351.png,Car,0.5,25,24.791,-0.209,0.008,572,177,622,227,568,172,621,225
002495.png,Car,0.5,12,12.899,0.899,0.075,713,179,864,283,734,165,855,287
000083.png,Car,0.5,26,27.229,1.229,0.047,519,170,571,215,513,163,573,218
007248.png,Car,0.5,26,31.134,5.134,0.197,677,179,738,221,676,167,740,225
004178.png,Car,0.5,28,26.401,-1.599,0.057,582,176,636,214,585,165,632,218
004351.png,Car,0.5,35,28.999,-6.001,0.171,500,181,538,213,498,170,537,213
003265.png,Car,0.5,34,33.500,-0.500,0.015,554,177,604,213,546,166,606,214
006983.png,Car,0.5,14,19.701,5.701,0.407,62,176,258,279,70,171,209,276
003894.png,Car,0.5,12,13.953,1.953,0.163,289,199,424,300,285,191,419,296
000002.png,Car,0.5,34,26.026,-7.974,0.235,657,190,700,223,656,172,701,226
002832.png,Car,0.5,32,32.809,0.809,0.025,249,177,323,212,243,171,301,214
007128.png,Car,0.5,37,28.620,-8.380,0.226,718,175,768,205,715,163,773,208
007370.png,Car,0.5,15,14.289,-0.711,0.047,363,169,471,261,363,159,471,262
006707.png,Car,0.5,20,27.566,7.566,0.378,328,188,461,243,332,185,404,241
001370.png,Car,0.5,14,18.286,4.286,0.306,0,167,151,258,8,164,152,255
000564.png,Car,0.5,25,24.680,-0.320,0.013,545,180,608,224,546,173,609,226
007087.png,Car,0.5,31,27.466,-3.534,0.114,481,182,536,220,483,175,541,221
001593.png,Car,0.5,30,30.699,0.699,0.023,559,179,611,226,571,183,618,221
004896.png,Car,0.5,5,6.700,1.700,0.340,918,188,1241,374,949,172,1209,367
006814.png,Car,0.5,9,9.823,0.823,0.091,245,193,472,354,254,175,472,353
007458.png,Car,0.5,34,31.800,-2.200,0.065,420,172,518,204,435,167,500,215
001720.png,Car,0.5,10,14.868,4.868,0.487,0,201,142,320,3,191,135,304
005441.png,Car,0.5,16,14.414,-1.586,0.099,403,184,519,261,413,168,511,265
004293.png,Car,0.5,29,38.982,9.982,0.344,661,165,726,213,659,166,724,215
